id,sequencia,quantidade,vlrUnitLiq,codProdutoPdv,codTipoProdutoPdv,descricao,codUnidade,obsItem,extras,codPedido_id
117810,1,1,3.99,265,FIXED,Agrião (Maço),unid,,,13546815
117811,2,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13546815
117812,3,1,4.25,281,FIXED,Espinafre (Maço),unid,,,13546815
117813,4,1,5.38,290,FIXED,Pepino Japonês (Kg),unid,,,13546815
117814,5,1,6.38,299,FIXED,Tomate Molho (Kg),unid,,,13546815
114819,1,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13505373
114820,2,2,3.75,246,FIXED,Brócolis Ninja (Uni),unid,,,13505373
114821,3,1,2.8,15,FIXED,Abobrinha Itália Pequena (Kg),unid,,,13505373
114822,4,1,2.99,9038,FIXED,Pepino Comum (Kg),unid,,,13505373
114823,5,2,6.38,299,FIXED,Tomate Molho (Kg),unid,,,13505373
114824,6,1,5.49,323,FIXED,Tomate Salada Médio (Kg),unid,,,13505373
114825,7,1,5.89,270,FIXED,Banana Nanica (Kg),unid,,,13505373
114826,8,1,4.6,283,FIXED,Limão Tahiti (Kg),unid,,,13505373
114827,9,1,5.2,287,FIXED,Maracujá (Kg),unid,,,13505373
114828,10,1,7.5,303,FIXED,Melão Amarelo (Uni),unid,,,13505373
114829,11,2,4.99,288,FIXED,Morango (Bdj),unid,,,13505373
114830,12,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13505373
114831,13,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13505373
114832,14,1,17.5,9053,FIXED,Alho com casca (500g),unid,,,13505373
114833,15,1,6.25,9080,FIXED,Sálvia (Maço 100g),unid,,,13505373
117815,6,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13546815
117816,7,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13546815
117817,8,1,2.5,285,FIXED,Mamão Papaya (Uni),unid,,,13546815
117818,9,1,2.17,545,FIXED,Manga Palmer (Uni),unid,,,13546815
117819,10,1,9.99,8084,FIXED,Cogumelo Shimeji Preto (200g),unid,,,13546815
121658,7,1,2.11,281,FIXED,Espinafre (Maço),unid,,,13588679
121659,8,1,2.4,296,FIXED,Rúcula (Maço),unid,,,13588679
121660,9,1,7.5,291,FIXED,Pimentão Amarelo (500g),unid,,,13588679
121661,10,1,7.5,293,FIXED,Pimentão Vermelho (500g),unid,,,13588679
121662,11,5,4.16,260,FIXED,Tomate Salada Graúdo (Kg),unid,Metade maduro ,,13588679
121663,12,1,2.73,270,FIXED,Banana Nanica (Kg),unid,,,13588679
121664,13,2,1.39,487,FIXED,Laranja Pera (Kg),unid,,,13588679
117845,1,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13546964
117846,2,1,1.75,268,FIXED,Alho Poró (Uni),unid,,,13546964
121665,14,1,5.32,328,FIXED,Limão Siciliano (Kg),unid,,,13588679
117847,3,1,4.68,2008,FIXED,Rúcula Higienizada (180g),unid,,,13546964
117848,4,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13546964
117849,5,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13546964
117850,6,2,2.5,285,FIXED,Mamão Papaya (Uni),unid,,,13546964
117851,7,1,4.99,288,FIXED,Morango (Bdj),unid,,,13546964
117852,8,1,1.5,9083,FIXED,Batata Doce Graúda (Kg),unid,,,13546964
117853,9,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13546964
117854,10,1,3.79,276,FIXED,Cebola Graúda (Kg),unid,,,13546964
117855,11,1,14.19,289,FIXED,Ovo (Bdj com 30 ovos),unid,,,13546964
117856,12,1,9.99,8084,FIXED,Cogumelo Shimeji Preto (200g),unid,,,13546964
115042,1,1,5,233,FIXED,Salsão (Uni),unid,,,13507318
115043,2,5,1.6,9074,FIXED,Alface Americana (Uni),unid,,,13507318
115044,3,1,2.22,290,FIXED,Pepino Japonês (Kg),unid,,,13507318
115045,4,6,2.93,323,FIXED,Tomate Salada Médio (Kg),unid,,,13507318
115046,5,1,2.8,308,FIXED,Abacate Comum (Uni),unid,,,13507318
115047,6,1,3.2,327,FIXED,Abacaxi Pérola (Uni),unid,,,13507318
115048,7,1,2.73,270,FIXED,Banana Nanica (Kg),unid,,,13507318
115049,8,12,1.39,487,FIXED,Laranja Pera (Kg),unid,,,13507318
115050,9,4,4.2,283,FIXED,Limão Tahiti (Kg),unid,,,13507318
115051,10,3,4.5,287,FIXED,Maracujá (Kg),unid,,,13507318
